run,type,module,name,attrname,attrvalue,value
scenario1-2-20211222-17:37:04-12112,runattr,,,configname,scenario1,
scenario1-2-20211222-17:37:04-12112,runattr,,,datetime,20211222-17:37:04,
scenario1-2-20211222-17:37:04-12112,runattr,,,experiment,scenario1,
scenario1-2-20211222-17:37:04-12112,runattr,,,inifile,omnetpp.ini,
scenario1-2-20211222-17:37:04-12112,runattr,,,iterationvars,,
scenario1-2-20211222-17:37:04-12112,runattr,,,iterationvarsf,,
scenario1-2-20211222-17:37:04-12112,runattr,,,measurement,,
scenario1-2-20211222-17:37:04-12112,runattr,,,network,Network,
scenario1-2-20211222-17:37:04-12112,runattr,,,processid,12112,
scenario1-2-20211222-17:37:04-12112,runattr,,,repetition,2,
scenario1-2-20211222-17:37:04-12112,runattr,,,replication,#2,
scenario1-2-20211222-17:37:04-12112,runattr,,,resultdir,results,
scenario1-2-20211222-17:37:04-12112,runattr,,,runnumber,2,
scenario1-2-20211222-17:37:04-12112,runattr,,,seedset,2,
scenario1-2-20211222-17:37:04-12112,param,,,**.server.p1,0.2,
scenario1-2-20211222-17:37:04-12112,param,,,**.server.p2,0.385,
scenario1-2-20211222-17:37:04-12112,param,,,**.clients.num_clients,60,
scenario1-2-20211222-17:37:04-12112,param,,,**.processor.service_rate,1000,
scenario1-2-20211222-17:37:04-12112,param,,,**.disk.service_rate,300,
scenario1-2-20211222-17:37:04-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-2-20211222-17:37:04-12112,param,,,**.clients.timeWindow,5s,
scenario1-0-20211222-17:37:02-12112,runattr,,,configname,scenario1,
scenario1-0-20211222-17:37:02-12112,runattr,,,datetime,20211222-17:37:02,
scenario1-0-20211222-17:37:02-12112,runattr,,,experiment,scenario1,
scenario1-0-20211222-17:37:02-12112,runattr,,,inifile,omnetpp.ini,
scenario1-0-20211222-17:37:02-12112,runattr,,,iterationvars,,
scenario1-0-20211222-17:37:02-12112,runattr,,,iterationvarsf,,
scenario1-0-20211222-17:37:02-12112,runattr,,,measurement,,
scenario1-0-20211222-17:37:02-12112,runattr,,,network,Network,
scenario1-0-20211222-17:37:02-12112,runattr,,,processid,12112,
scenario1-0-20211222-17:37:02-12112,runattr,,,repetition,0,
scenario1-0-20211222-17:37:02-12112,runattr,,,replication,#0,
scenario1-0-20211222-17:37:02-12112,runattr,,,resultdir,results,
scenario1-0-20211222-17:37:02-12112,runattr,,,runnumber,0,
scenario1-0-20211222-17:37:02-12112,runattr,,,seedset,0,
scenario1-0-20211222-17:37:02-12112,param,,,**.server.p1,0.2,
scenario1-0-20211222-17:37:02-12112,param,,,**.server.p2,0.385,
scenario1-0-20211222-17:37:02-12112,param,,,**.clients.num_clients,60,
scenario1-0-20211222-17:37:02-12112,param,,,**.processor.service_rate,1000,
scenario1-0-20211222-17:37:02-12112,param,,,**.disk.service_rate,300,
scenario1-0-20211222-17:37:02-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-0-20211222-17:37:02-12112,param,,,**.clients.timeWindow,5s,
scenario1-1-20211222-17:37:03-12112,runattr,,,configname,scenario1,
scenario1-1-20211222-17:37:03-12112,runattr,,,datetime,20211222-17:37:03,
scenario1-1-20211222-17:37:03-12112,runattr,,,experiment,scenario1,
scenario1-1-20211222-17:37:03-12112,runattr,,,inifile,omnetpp.ini,
scenario1-1-20211222-17:37:03-12112,runattr,,,iterationvars,,
scenario1-1-20211222-17:37:03-12112,runattr,,,iterationvarsf,,
scenario1-1-20211222-17:37:03-12112,runattr,,,measurement,,
scenario1-1-20211222-17:37:03-12112,runattr,,,network,Network,
scenario1-1-20211222-17:37:03-12112,runattr,,,processid,12112,
scenario1-1-20211222-17:37:03-12112,runattr,,,repetition,1,
scenario1-1-20211222-17:37:03-12112,runattr,,,replication,#1,
scenario1-1-20211222-17:37:03-12112,runattr,,,resultdir,results,
scenario1-1-20211222-17:37:03-12112,runattr,,,runnumber,1,
scenario1-1-20211222-17:37:03-12112,runattr,,,seedset,1,
scenario1-1-20211222-17:37:03-12112,param,,,**.server.p1,0.2,
scenario1-1-20211222-17:37:03-12112,param,,,**.server.p2,0.385,
scenario1-1-20211222-17:37:03-12112,param,,,**.clients.num_clients,60,
scenario1-1-20211222-17:37:03-12112,param,,,**.processor.service_rate,1000,
scenario1-1-20211222-17:37:03-12112,param,,,**.disk.service_rate,300,
scenario1-1-20211222-17:37:03-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-1-20211222-17:37:03-12112,param,,,**.clients.timeWindow,5s,
scenario1-3-20211222-17:37:05-12112,runattr,,,configname,scenario1,
scenario1-3-20211222-17:37:05-12112,runattr,,,datetime,20211222-17:37:05,
scenario1-3-20211222-17:37:05-12112,runattr,,,experiment,scenario1,
scenario1-3-20211222-17:37:05-12112,runattr,,,inifile,omnetpp.ini,
scenario1-3-20211222-17:37:05-12112,runattr,,,iterationvars,,
scenario1-3-20211222-17:37:05-12112,runattr,,,iterationvarsf,,
scenario1-3-20211222-17:37:05-12112,runattr,,,measurement,,
scenario1-3-20211222-17:37:05-12112,runattr,,,network,Network,
scenario1-3-20211222-17:37:05-12112,runattr,,,processid,12112,
scenario1-3-20211222-17:37:05-12112,runattr,,,repetition,3,
scenario1-3-20211222-17:37:05-12112,runattr,,,replication,#3,
scenario1-3-20211222-17:37:05-12112,runattr,,,resultdir,results,
scenario1-3-20211222-17:37:05-12112,runattr,,,runnumber,3,
scenario1-3-20211222-17:37:05-12112,runattr,,,seedset,3,
scenario1-3-20211222-17:37:05-12112,param,,,**.server.p1,0.2,
scenario1-3-20211222-17:37:05-12112,param,,,**.server.p2,0.385,
scenario1-3-20211222-17:37:05-12112,param,,,**.clients.num_clients,60,
scenario1-3-20211222-17:37:05-12112,param,,,**.processor.service_rate,1000,
scenario1-3-20211222-17:37:05-12112,param,,,**.disk.service_rate,300,
scenario1-3-20211222-17:37:05-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-3-20211222-17:37:05-12112,param,,,**.clients.timeWindow,5s,
scenario1-4-20211222-17:37:06-12112,runattr,,,configname,scenario1,
scenario1-4-20211222-17:37:06-12112,runattr,,,datetime,20211222-17:37:06,
scenario1-4-20211222-17:37:06-12112,runattr,,,experiment,scenario1,
scenario1-4-20211222-17:37:06-12112,runattr,,,inifile,omnetpp.ini,
scenario1-4-20211222-17:37:06-12112,runattr,,,iterationvars,,
scenario1-4-20211222-17:37:06-12112,runattr,,,iterationvarsf,,
scenario1-4-20211222-17:37:06-12112,runattr,,,measurement,,
scenario1-4-20211222-17:37:06-12112,runattr,,,network,Network,
scenario1-4-20211222-17:37:06-12112,runattr,,,processid,12112,
scenario1-4-20211222-17:37:06-12112,runattr,,,repetition,4,
scenario1-4-20211222-17:37:06-12112,runattr,,,replication,#4,
scenario1-4-20211222-17:37:06-12112,runattr,,,resultdir,results,
scenario1-4-20211222-17:37:06-12112,runattr,,,runnumber,4,
scenario1-4-20211222-17:37:06-12112,runattr,,,seedset,4,
scenario1-4-20211222-17:37:06-12112,param,,,**.server.p1,0.2,
scenario1-4-20211222-17:37:06-12112,param,,,**.server.p2,0.385,
scenario1-4-20211222-17:37:06-12112,param,,,**.clients.num_clients,60,
scenario1-4-20211222-17:37:06-12112,param,,,**.processor.service_rate,1000,
scenario1-4-20211222-17:37:06-12112,param,,,**.disk.service_rate,300,
scenario1-4-20211222-17:37:06-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-4-20211222-17:37:06-12112,param,,,**.clients.timeWindow,5s,
scenario1-5-20211222-17:37:07-12112,runattr,,,configname,scenario1,
scenario1-5-20211222-17:37:07-12112,runattr,,,datetime,20211222-17:37:07,
scenario1-5-20211222-17:37:07-12112,runattr,,,experiment,scenario1,
scenario1-5-20211222-17:37:07-12112,runattr,,,inifile,omnetpp.ini,
scenario1-5-20211222-17:37:07-12112,runattr,,,iterationvars,,
scenario1-5-20211222-17:37:07-12112,runattr,,,iterationvarsf,,
scenario1-5-20211222-17:37:07-12112,runattr,,,measurement,,
scenario1-5-20211222-17:37:07-12112,runattr,,,network,Network,
scenario1-5-20211222-17:37:07-12112,runattr,,,processid,12112,
scenario1-5-20211222-17:37:07-12112,runattr,,,repetition,5,
scenario1-5-20211222-17:37:07-12112,runattr,,,replication,#5,
scenario1-5-20211222-17:37:07-12112,runattr,,,resultdir,results,
scenario1-5-20211222-17:37:07-12112,runattr,,,runnumber,5,
scenario1-5-20211222-17:37:07-12112,runattr,,,seedset,5,
scenario1-5-20211222-17:37:07-12112,param,,,**.server.p1,0.2,
scenario1-5-20211222-17:37:07-12112,param,,,**.server.p2,0.385,
scenario1-5-20211222-17:37:07-12112,param,,,**.clients.num_clients,60,
scenario1-5-20211222-17:37:07-12112,param,,,**.processor.service_rate,1000,
